0.60,0.75,0.67
0.62,0.71,0.67
0.67,0.67,0.67
0.76,0.76,0.76
0.64,0.70,0.67
0.73,0.69,0.71
0.69,0.61,0.65
0.68,0.55,0.61
0.57,0.63,0.60
0.57,0.75,0.65
0.57,0.79,0.66
0.69,0.76,0.72
0.87,0.76,0.81
0.73,0.74,0.74
0.78,0.61,0.68
0.74,0.71,0.73
0.70,0.70,0.70
0.84,0.68,0.75
0.62,0.62,0.62
0.64,0.64,0.64
0.79,0.70,0.74
0.83,0.71,0.77
0.81,0.64,0.72
0.68,0.77,0.72
0.63,0.63,0.63
0.63,0.61,0.62
0.59,0.70,0.64
0.83,0.56,0.67
0.83,0.48,0.61
0.79,0.47,0.59
0.78,0.78,0.78
0.81,0.80,0.80
0.86,0.72,0.78
0.84,0.70,0.76
0.84,0.65,0.73
0.66,0.73,0.69
1.00,0.58,0.74
1.00,0.55,0.71
1.00,0.50,0.67
0.83,0.48,0.61
0.64,0.40,0.50
0.66,0.38,0.48
0.89,0.80,0.84
0.85,0.74,0.79
0.70,0.70,0.70
0.80,0.35,0.48
0.76,0.36,0.49
0.61,0.53,0.57
0.77,0.55,0.64
0.77,0.52,0.62
0.80,0.53,0.64
0.88,1.00,0.93
0.89,1.00,0.94
0.97,0.97,0.97
0.89,0.73,0.80
0.88,0.69,0.77
0.92,0.77,0.84
0.73,0.79,0.76
0.67,0.77,0.72
0.67,0.73,0.70
0.93,0.74,0.83
0.87,0.65,0.74
0.84,0.52,0.64
0.78,0.66,0.71
0.70,0.50,0.59
0.65,0.65,0.65
0.86,0.80,0.83
0.74,0.54,0.62
0.67,0.67,0.67
0.82,0.69,0.75
0.70,0.60,0.65
0.71,0.53,0.60
0.88,0.82,0.85
0.83,0.69,0.76
0.74,0.79,0.76
0.87,0.72,0.79
0.71,0.57,0.63
0.50,0.64,0.56
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.86,0.75,0.80
0.88,0.76,0.82
0.91,0.84,0.88
0.85,0.71,0.78
0.82,0.61,0.70
0.70,0.59,0.64
0.87,0.78,0.82
0.84,0.68,0.75
0.66,0.68,0.67
0.89,0.71,0.79
0.85,0.56,0.67
0.58,0.47,0.52
0.91,0.74,0.82
0.88,0.60,0.71
0.58,0.52,0.55
0.67,0.40,0.50
0.63,0.29,0.40
0.45,0.30,0.36
0.71,0.45,0.56
0.73,0.46,0.56
0.73,0.54,0.62
