0.60,0.75,0.67
0.62,0.71,0.67
0.67,0.67,0.67
0.70,0.76,0.73
0.57,0.70,0.63
0.62,0.69,0.65
0.67,0.67,0.67
0.68,0.63,0.65
0.61,0.74,0.67
0.55,0.75,0.63
0.54,0.79,0.64
0.64,0.76,0.69
0.80,0.71,0.75
0.66,0.71,0.68
0.72,0.56,0.63
0.71,0.71,0.71
0.66,0.70,0.68
0.78,0.67,0.72
0.47,0.54,0.50
0.50,0.57,0.53
0.74,0.57,0.64
0.71,0.71,0.71
0.69,0.64,0.67
0.65,0.74,0.69
0.62,0.68,0.65
0.61,0.66,0.63
0.56,0.77,0.65
0.83,0.56,0.67
0.83,0.48,0.61
0.79,0.47,0.59
0.70,0.78,0.74
0.67,0.80,0.73
0.90,0.60,0.72
0.85,0.74,0.79
0.82,0.69,0.75
0.68,0.68,0.68
1.00,0.58,0.74
1.00,0.55,0.71
1.00,0.50,0.67
0.86,0.57,0.69
0.81,0.47,0.60
0.70,0.60,0.64
0.82,0.90,0.86
0.80,0.86,0.83
0.75,0.75,0.75
0.82,0.39,0.53
0.79,0.37,0.51
0.53,0.53,0.53
0.70,0.61,0.66
0.69,0.59,0.63
0.68,0.57,0.62
0.67,0.86,0.75
0.67,0.89,0.77
0.85,0.72,0.78
0.89,0.73,0.80
0.88,0.69,0.77
0.92,0.77,0.84
0.73,0.79,0.76
0.67,0.77,0.72
0.67,0.73,0.70
0.87,0.75,0.81
0.79,0.67,0.72
0.73,0.54,0.62
0.76,0.68,0.72
0.68,0.53,0.60
0.66,0.66,0.66
0.82,0.84,0.83
0.61,0.60,0.60
0.59,0.63,0.61
0.76,0.72,0.74
0.65,0.66,0.65
0.64,0.59,0.62
0.85,0.85,0.85
0.80,0.76,0.78
0.74,0.86,0.79
0.82,0.74,0.78
0.65,0.60,0.62
0.49,0.63,0.55
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.87,0.81,0.84
0.88,0.82,0.85
0.94,0.87,0.90
0.81,0.73,0.77
0.77,0.64,0.69
0.68,0.58,0.63
0.81,0.83,0.82
0.77,0.73,0.75
0.66,0.76,0.71
0.89,0.73,0.80
0.85,0.58,0.69
0.61,0.54,0.57
0.89,0.78,0.83
0.86,0.62,0.72
0.49,0.54,0.51
0.65,0.44,0.52
0.63,0.36,0.45
0.51,0.42,0.46
0.62,0.45,0.53
0.62,0.46,0.53
0.71,0.53,0.61
